"Address","Label","Category","Source","File","Status"
"0042FFF0","WelcomeToTheJungle::MoveBirdAndEaseFacingAngles","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0042FFF0_WelcomeToTheJungle__MoveBirdAndEaseFacingAngles.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0042FFF0_WelcomeToTheJungle_MoveBirdAndEaseFacingAngles.c","copied"
"0043AEE0","WelcomeToTheJungle::InitBaboon","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043AEE0_WelcomeToTheJungle__InitBaboon.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043AEE0_WelcomeToTheJungle_InitBaboon.c","copied"
"0043AFC0","WelcomeToTheJungle::UpdateBaboon","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043AFC0_WelcomeToTheJungle__UpdateBaboon.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043AFC0_WelcomeToTheJungle_UpdateBaboon.c","copied"
"0043B630","WelcomeToTheJungle::InitBirdCommon","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043B630_WelcomeToTheJungle__InitBirdCommon.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043B630_WelcomeToTheJungle_InitBirdCommon.c","copied"
"0043B9B0","WelcomeToTheJungle::UpdateBird","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043B9B0_WelcomeToTheJungle__UpdateBird.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043B9B0_WelcomeToTheJungle_UpdateBird.c","copied"
"0043BEF0","WelcomeToTheJungle::InitBird","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043BEF0_WelcomeToTheJungle__InitBird.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043BEF0_WelcomeToTheJungle_InitBird.c","copied"
"0043BF80","WelcomeToTheJungle::InitProximityTakeoffBird","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043BF80_WelcomeToTheJungle__InitProximityTakeoffBird.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043BF80_WelcomeToTheJungle_InitProximityTakeoffBird.c","copied"
"0043C070","WelcomeToTheJungle::BirdProximityTakeoffCallback","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C070_WelcomeToTheJungle__BirdProximityTakeoffCallback.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C070_WelcomeToTheJungle_BirdProximityTakeoffCallback.c","copied"
"0043C1C0","WelcomeToTheJungle::InitProjectileDropBird","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C1C0_WelcomeToTheJungle__InitProjectileDropBird.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C1C0_WelcomeToTheJungle_InitProjectileDropBird.c","copied"
"0043C250","WelcomeToTheJungle::BirdProjectileDropCallback","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C250_WelcomeToTheJungle__BirdProjectileDropCallback.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C250_WelcomeToTheJungle_BirdProjectileDropCallback.c","copied"
"0043C4E0","WelcomeToTheJungle::InitBongo","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C4E0_WelcomeToTheJungle__InitBongo.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C4E0_WelcomeToTheJungle_InitBongo.c","copied"
"0043C550","WelcomeToTheJungle::UpdateBongo","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C550_WelcomeToTheJungle__UpdateBongo.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C550_WelcomeToTheJungle_UpdateBongo.c","copied"
"0043C7E0","WelcomeToTheJungle::InitChameleon","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C7E0_WelcomeToTheJungle__InitChameleon.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C7E0_WelcomeToTheJungle_InitChameleon.c","copied"
